"['orgTags_CATEGORIES' ]"                   counts
"['Social Care', 'Community Support']"  24
"['Social Care', 'After School Care']"  24
"['Publishing']"        24
"['Human Resources', 'HR']"     24
"['Food Service', 'Barista']"   24
"['Construction', 'Sub Contractor']"    24
"['Arts', '3d']"        24
"['Hospitality', 'Wait Staff']"   23
"['Accounting', 'Internal Auditor']"    23
"['Support']"   22
"['Manufacturing', 'Steel Fabrication']"        22
"['Engineering', 'Civil']"      22
"['Construction', 'Assessor']"    22
"['Training', 'Apprentice']"    21
"['Logistics', 'Telecommunications']"     21
"['Administrative', 'Receptionist']"      21
"['Training', 'Year Apprentice']"         20
"['Retail', 'Retail Store Manager']"      20
"['Military and Protective Services']"    20
"['Mechanical', 'Automotive']"    20
"['Manufacturing', 'Factory']"    20
"['Volunteering', 'Volunteer']"   19
"['Transportation', 'Airport']"   19
"['Training', 'Technical Officer']"     19
"['Sales', 'Technical Sales']"    19
"['IT']"        19
"['Volunteer']"   18
"['Transportation', 'Aviation']"        18
"['Restaurant', 'Breakfast Chef']"      18
"['Product Management']"        18
"['Finance', 'Corporate Finance']"      18
"['Customer Service', 'Account Manager']"       18
"['Business', 'Sharepoint']"    18
"['Arts', 'Music']"     18
"['Accounting', 'Junior Accountant']"   18
"['Transportation', 'Bus Driver']"      17
"['Retail', 'Retail Casual']"     17
"['Management', 'Branch Manager']"      17
"['Food Service', 'Pizza']"     17
"['Customer Service', 'Relationship Manager']"  17
"['Bank Teller']"       17
"['Sport', 'Sport Management']"   16
"['Restaurant', 'Baker']"       16
"['Private Security']"    16
"['Healthcare', 'Graduate Nurse']"      16
"['Healthcare', 'Aged Care']"   16
"['General labor']"     16
"['Food Service', 'Pizza Delivery Driver']"     16
"['Construction', 'General Labourer']"    16
"['Caregiver']"   16
"['Logistics', 'Picking']"      15
"['Hospitality', 'Event Coordinator']"    15
"['Management', 'Project Coordinator']"   14
"['Management', 'Environmental Sustainability']"        14
"['Maintenance', 'Maintenance Planner']"        14
"['Healthcare', 'Aboriginal Health']"   14
"['Counselor']"   14
"['Cleaning']"    14
"['Arts/Entertainment/Publishing']"     14
"['Administrative', 'Reception']"       14
"['Sports']"    13
"['Retail Associate']"  13
"['Mechanical', 'Mechanical Fitter']"   13
"['Manufacturing']"     13
"['Machinist']"   13
"['Janitorial']"        13
"['Investigator']"      13
"['Healthcare', 'General Practitioner']"        13
"['Event Coordinator']"   13
"['Courier']"   13
"['Construction', 'Painter']"   13
"['Armed Security']"    13
"['Sport', 'Sports']"   12
"['Pipefitter']"        12
"['Marketing', 'Public Relations']"     12
"['Manufacturing', 'Planner']"    12
"['Hospital']"    12
"['Higher Ed']"   12
"['Environmental Science']"     12
"['Entertainment']"     12
"['Delivery']"  12
"['Construction', 'Sheet Metal']"       12
"['Chef']"      12
"['Athletic Trainer']"    12
"['Agriculture', 'Farm Work']"  12
"['Social Care', 'Community Services']"   11
"['Retail', 'Retail Sales Assistant']"    11
"['Plumbing']"    11
"['Logistics']"   11
"['Government']"        11
"['Executive']"   11
"['Engineering', 'Environmental Engineer']"     11
